Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-01338,"Beaudits (le lieu des),","près de la Fetière, commune de Maillé.",Maillé
DT37-01348,"Beaugendrie (la),",paroisse de Saint-Michel-sur-Loire.,Saint-Michel-sur-Loire
DT37-01351,"Beaugibeux (le lieu de),","près de la Babinière, commune de Braslou.",Babinière
DT37-01370,"Beaulieu (bois de),","près du Sanguier, commune de Huismes.",Sanguier
DT37-01377,"Beaulieu (le lieu de),","commune de Saunay, près de la Berrurie.",Berrurie
DT37-01384,"Beaume (la rouère de la),","près des Menaudières, commune de Saché.",Menaudières
DT37-01402,"Beaune (le fief de),","situé dans la ville de Tours, paroisse de Saint-Saturnin.",Saint-Saturnin
DT37-01407,"Beaupou (moulin de),","commune de Vallères, près de l’ancien lit du Cher.",Cher
DT37-01409,"Beaupuits,","ferme, commune de Couesmes.",Couesmes
DT37-01457,"Beauregard,","hameau, commune de Saint-Michel-sur-Loire, près du ruisseau de Lane,",Saint-Michel-sur-Loire
DT37-01471,"Beauséjour,","ferme, commune de Saint-Règle, près de la Masse.",Masse
DT37-01481,"Beauvais,","ferme, commune d’Auzouer, près de la Brenne.",Brenne
DT37-01486,"Beauvais (le lieu de),","près de la Guillemandière, commune de Barrou.",Guillemandière
